Community Area,Primary Type,total_crimes
9,Deceptive Practice,273
9,Gambling,1
9,Homicide,3
9,Intimidation,4
9,Liquor Law Violation,1
9,Motor Vehicle Theft,51
9,Narcotics,4
9,Offense Involving Children,17
9,Other Offense,109
9,Public Peace Violation,6
9,Robbery,5
9,Sex Offense,9
9,Stalking,3
9,Theft,253
9,Weapons Violation,2
10,Arson,19
10,Assault,411
10,Battery,862
10,Burglary,295
10,Crim Sexual Assault,10
10,Criminal Damage,606
10,Criminal Sexual Assault,17
10,Criminal Trespass,187
10,Deceptive Practice,1008
10,Homicide,2
10,Interference With Public Officer,8
10,Intimidation,5
10,Kidnapping,9
10,Liquor Law Violation,2
10,Motor Vehicle Theft,203
10,Narcotics,46
10,Non-Criminal,2
10,Obscenity,1
10,Offense Involving Children,44
10,Other Offense,446
10,Prostitution,1
10,Public Peace Violation,17
10,Robbery,76
10,Sex Offense,38
10,Stalking,10
10,Theft,1376
10,Weapons Violation,19
11,Arson,8
11,Assault,377
11,Battery,747
11,Burglary,224
11,Concealed Carry License Violation,1
11,Crim Sexual Assault,7
11,Criminal Damage,535
11,Criminal Sexual Assault,18
11,Criminal Trespass,151
11,Deceptive Practice,667
11,Homicide,2
11,Human Trafficking,2
11,Interference With Public Officer,8
11,Intimidation,5
11,Kidnapping,3
11,Liquor Law Violation,8
11,Motor Vehicle Theft,218
11,Narcotics,55
11,Obscenity,4
11,Offense Involving Children,33
11,Other Narcotic Violation,2
11,Other Offense,401
11,Public Peace Violation,22
11,Robbery,81
11,Sex Offense,34
11,Stalking,15
11,Theft,1249
11,Weapons Violation,18
12,Arson,1
12,Assault,175
12,Battery,266
12,Burglary,215
12,Crim Sexual Assault,2
12,Criminal Damage,266
12,Criminal Sexual Assault,9
12,Criminal Trespass,94
12,Deceptive Practice,551
12,Interference With Public Officer,3
12,Intimidation,1
12,Kidnapping,1
12,Motor Vehicle Theft,106
12,Narcotics,15
12,Obscenity,1
12,Offense Involving Children,16
12,Other Offense,152
12,Public Peace Violation,8
12,Robbery,20
12,Sex Offense,11
12,Stalking,8
12,Theft,604
12,Weapons Violation,22
13,Arson,5
13,Assault,315
13,Battery,633
13,Burglary,221
13,Crim Sexual Assault,13
13,Criminal Damage,477
13,Criminal Sexual Assault,18
13,Criminal Trespass,108
13,Deceptive Practice,487
13,Gambling,2
13,Homicide,7
13,Human Trafficking,1
13,Interference With Public Officer,1
13,Intimidation,3
13,Liquor Law Violation,6
13,Motor Vehicle Theft,213
13,Narcotics,42
13,Non-Criminal,1
13,Offense Involving Children,40
13,Other Offense,255
13,Prostitution,1
13,Public Peace Violation,12
13,Robbery,96
13,Sex Offense,27
13,Stalking,5
13,Theft,1157
13,Weapons Violation,45
14,Arson,13
14,Assault,828
14,Battery,1958
14,Burglary,503
14,Concealed Carry License Violation,2
14,Crim Sexual Assault,16
14,Criminal Damage,1480
14,Criminal Sexual Assault,66
14,Criminal Trespass,210
14,Deceptive Practice,701
14,Gambling,1
14,Homicide,20
14,Human Trafficking,1
14,Interference With Public Officer,15
14,Intimidation,10
14,Kidnapping,5
14,Liquor Law Violation,13
14,Motor Vehicle Theft,544
14,Narcotics,219
14,Non-Criminal,1
14,Obscenity,3
14,Offense Involving Children,98
14,Other Offense,654
14,Prostitution,7
14,Public Peace Violation,39
14,Robbery,394
14,Sex Offense,62
14,Stalking,10
14,Theft,2455
14,Weapons Violation,219
15,Arson,39
15,Assault,1222
15,Battery,2617
15,Burglary,699
15,Concealed Carry License Violation,5
15,Crim Sexual Assault,31
15,Criminal Damage,1706
15,Criminal Sexual Assault,52
15,Criminal Trespass,295
15,Deceptive Practice,1333
15,Homicide,16
15,Human Trafficking,3
15,Interference With Public Officer,19
15,Intimidation,20
15,Kidnapping,14
15,Liquor Law Violation,27
15,Motor Vehicle Theft,714
15,Narcotics,210
15,Non-Criminal,1
15,Obscenity,6
15,Offense Involving Children,158
15,Other Narcotic Violation,2
15,Other Offense,1104
15,Prostitution,2
15,Public Peace Violation,49
15,Robbery,325
15,Sex Offense,91
15,Stalking,20
15,Theft,3115
15,Weapons Violation,190
16,Arson,23
16,Assault,901
16,Battery,2094
16,Burglary,633
16,Concealed Carry License Violation,3
16,Crim Sexual Assault,19
16,Criminal Damage,1551
16,Criminal Sexual Assault,53
16,Criminal Trespass,222
16,Deceptive Practice,1024
16,Gambling,2
16,Homicide,10
16,Interference With Public Officer,8
16,Intimidation,10
16,Kidnapping,6
16,Liquor Law Violation,13
16,Motor Vehicle Theft,644
16,Narcotics,205
16,Obscenity,8
16,Offense Involving Children,106
16,Other Narcotic Violation,1
16,Other Offense,836
16,Prostitution,2
16,Public Peace Violation,30
16,Robbery,345
16,Sex Offense,73
16,Stalking,14
16,Theft,3189
16,Weapons Violation,173
17,Arson,23
17,Assault,591
17,Battery,1329
17,Burglary,418
17,Concealed Carry License Violation,2
17,Crim Sexual Assault,14
17,Criminal Damage,884
17,Criminal Sexual Assault,19
17,Criminal Trespass,148
17,Deceptive Practice,965
17,Gambling,1
17,Homicide,13
17,Interference With Public Officer,5
17,Intimidation,9
17,Kidnapping,7
17,Liquor Law Violation,9
17,Motor Vehicle Theft,331
17,Narcotics,73
17,Obscenity,3
17,Offense Involving Children,66
17,Other Offense,705
17,Prostitution,1
17,Public Indecency,1
17,Public Peace Violation,17
17,Robbery,84
17,Sex Offense,52
17,Stalking,8
17,Theft,1345
17,Weapons Violation,74
18,Arson,9
18,Assault,222
18,Battery,526
18,Burglary,124
18,Concealed Carry License Violation,1
18,Crim Sexual Assault,3
18,Criminal Damage,366
18,Criminal Sexual Assault,11
18,Criminal Trespass,55
18,Deceptive Practice,277
18,Homicide,5
18,Human Trafficking,1
18,Interference With Public Officer,3
18,Intimidation,5
18,Kidnapping,4
18,Motor Vehicle Theft,178
18,Narcotics,44
18,Obscenity,1
18,Offense Involving Children,36
18,Other Offense,241
18,Public Peace Violation,8
18,Robbery,54
18,Sex Offense,14
18,Stalking,6
18,Theft,595
18,Weapons Violation,66
19,Arson,39
19,Assault,1725
19,Battery,4090
19,Burglary,722
19,Concealed Carry License Violation,14
19,Crim Sexual Assault,38
19,Criminal Damage,2331
19,Criminal Sexual Assault,77
19,Criminal Trespass,327
19,Deceptive Practice,1416
19,Gambling,2
19,Homicide,40
19,Human Trafficking,1
19,Interference With Public Officer,49
19,Intimidation,24
19,Kidnapping,13
19,Liquor Law Violation,25
19,Motor Vehicle Theft,1297
19,Narcotics,652
19,Non-Criminal,5
19,Obscenity,5
19,Offense Involving Children,267
19,Other Offense,1721
19,Prostitution,17
19,Public Indecency,1
19,Public Peace Violation,87
19,Robbery,572
19,Sex Offense,135
19,Stalking,23
19,Theft,3605
19,Weapons Violation,690
20,Arson,21
20,Assault,507
20,Battery,1246
20,Burglary,245
20,Concealed Carry License Violation,1
20,Crim Sexual Assault,9
20,Criminal Damage,738
20,Criminal Sexual Assault,27
20,Criminal Trespass,77
20,Deceptive Practice,466
20,Homicide,8
20,Interference With Public Officer,20
20,Intimidation,7
20,Kidnapping,4
20,Liquor Law Violation,4
20,Motor Vehicle Theft,415
20,Narcotics,199
20,Obscenity,3
20,Offense Involving Children,110
20,Other Offense,552
20,Public Peace Violation,36
20,Robbery,193
20,Sex Offense,48
20,Stalking,6
20,Theft,1213
20,Weapons Violation,248
21,Arson,15
21,Assault,686
21,Battery,1593
21,Burglary,527
21,Crim Sexual Assault,19
21,Criminal Damage,1158
21,Criminal Sexual Assault,22
21,Criminal Trespass,191
21,Deceptive Practice,765
21,Homicide,17
21,Interference With Public Officer,11
21,Intimidation,10
21,Kidnapping,4
21,Liquor Law Violation,7
21,Motor Vehicle Theft,524
21,Narcotics,121
21,Obscenity,4
21,Offense Involving Children,71
21,Other Offense,610
21,Prostitution,2
21,Public Indecency,1
21,Public Peace Violation,26
21,Robbery,420
21,Sex Offense,66
21,Stalking,5
21,Theft,2659
21,Weapons Violation,168
22,Arson,31
22,Assault,1329
22,Battery,2864
22,Burglary,1117
22,Concealed Carry License Violation,5
22,Crim Sexual Assault,30
22,Criminal Damage,2358
22,Criminal Sexual Assault,84
22,Criminal Trespass,423
22,Deceptive Practice,1678
22,Homicide,28
22,Interference With Public Officer,26
22,Intimidation,10
22,Kidnapping,9
22,Liquor Law Violation,29
22,Motor Vehicle Theft,999
22,Narcotics,262
22,Obscenity,6
22,Offense Involving Children,136
22,Other Narcotic Violation,1
22,Other Offense,1172
22,Prostitution,1
22,Public Indecency,1
22,Public Peace Violation,85
22,Robbery,747
22,Sex Offense,117
22,Stalking,33
22,Theft,6941
22,Weapons Violation,285
23,Arson,101
23,Assault,2792
23,Battery,6792
23,Burglary,1131
23,Concealed Carry License Violation,14
23,Crim Sexual Assault,51
23,Criminal Damage,3365
23,Criminal Sexual Assault,126
23,Criminal Trespass,595
23,Deceptive Practice,1312
23,Gambling,52
23,Homicide,151
23,Human Trafficking,1
23,Interference With Public Officer,210
23,Intimidation,7
23,Kidnapping,12
23,Liquor Law Violation,25
23,Motor Vehicle Theft,1557
23,Narcotics,5743
23,Non-Criminal (Subject Specified),1
23,Obscenity,5
23,Offense Involving Children,275
23,Other Narcotic Violation,1
23,Other Offense,2089
23,Prostitution,46
23,Public Peace Violation,240
23,Robbery,1441
23,Sex Offense,128
23,Stalking,25
23,Theft,4615
23,Weapons Violation,1431
24,Arson,37
24,Assault,1981
24,Battery,3923
24,Burglary,1731
24,Concealed Carry License Violation,7
24,Crim Sexual Assault,60
24,Criminal Damage,3460
24,Criminal Sexual Assault,121
24,Criminal Trespass,610
24,Deceptive Practice,2482
24,Gambling,1
24,Homicide,46
24,Interference With Public Officer,45
24,Intimidation,20
24,Kidnapping,4
24,Liquor Law Violation,55
24,Motor Vehicle Theft,1834
24,Narcotics,309
24,Obscenity,9
24,Offense Involving Children,112
24,Other Offense,1333
24,Prostitution,14
24,Public Indecency,4
24,Public Peace Violation,98
24,Robbery,1539
24,Sex Offense,167
24,Stalking,31
24,Theft,11578
24,Weapons Violation,380
25,Arson,201
25,Assault,6133
25,Battery,15019
25,Burglary,1886
25,Concealed Carry License Violation,16
25,Crim Sexual Assault,153
25,Criminal Damage,7279
25,Criminal Sexual Assault,300
25,Criminal Trespass,1096
25,Deceptive Practice,3442
25,Gambling,47
25,Homicide,314
25,Human Trafficking,4
25,Interference With Public Officer,299
25,Intimidation,36
25,Kidnapping,34
25,Liquor Law Violation,27
25,Motor Vehicle Theft,3943
25,Narcotics,4049
25,Non-Criminal,2
25,Obscenity,11
25,Offense Involving Children,582
25,Other Offense,4402
25,Prostitution,534
25,Public Indecency,1
25,Public Peace Violation,363
25,Robbery,3098
25,Sex Offense,282
25,Stalking,59
25,Theft,9524
25,Weapons Violation,2678
26,Arson,74
26,Assault,1790
26,Battery,5035
26,Burglary,498
26,Concealed Carry License Violation,12
26,Crim Sexual Assault,53
26,Criminal Damage,2374
26,Criminal Sexual Assault,97
26,Criminal Trespass,493
26,Deceptive Practice,793
26,Gambling,30
26,Homicide,156
26,Human Trafficking,1
26,Interference With Public Officer,172
26,Intimidation,8
26,Kidnapping,8
26,Liquor Law Violation,18
26,Motor Vehicle Theft,1120
26,Narcotics,4508
26,Obscenity,2
26,Offense Involving Children,147
26,Other Offense,1151
26,Prostitution,701
26,Public Peace Violation,216
26,Robbery,1314
26,Sex Offense,58
26,Stalking,15
26,Theft,2478
26,Weapons Violation,1355
27,Arson,44
27,Assault,1943
27,Battery,4723
27,Burglary,513
27,Concealed Carry License Violation,10
27,Crim Sexual Assault,31
27,Criminal Damage,2247
27,Criminal Sexual Assault,80
27,Criminal Trespass,399
27,Deceptive Practice,675
27,Gambling,34
27,Homicide,115
27,Human Trafficking,1
27,Interference With Public Officer,117
27,Intimidation,11
27,Kidnapping,12
27,Liquor Law Violation,12
27,Motor Vehicle Theft,1086
27,Narcotics,2118
27,Non-Criminal (Subject Specified),1
27,Obscenity,3
27,Offense Involving Children,134
27,Other Offense,1216
27,Prostitution,18
27,Public Peace Violation,121
27,Ritualism,1
27,Robbery,970
27,Sex Offense,62
27,Stalking,28
27,Theft,2845
27,Weapons Violation,944
28,Arson,46
28,Assault,3060
28,Battery,5959
28,Burglary,1042
28,Concealed Carry License Violation,15
28,Crim Sexual Assault,83
28,Criminal Damage,3876
28,Criminal Sexual Assault,153
28,Criminal Trespass,1132
28,Deceptive Practice,3341
28,Gambling,6
28,Homicide,67
28,Human Trafficking,1
28,Interference With Public Officer,82
28,Intimidation,37
28,Kidnapping,12
28,Liquor Law Violation,45
28,Motor Vehicle Theft,2350
28,Narcotics,679
28,Non-Criminal,3
28,Obscenity,7
28,Offense Involving Children,184
28,Other Narcotic Violation,1
28,Other Offense,2071
28,Prostitution,3
28,Public Indecency,1
28,Public Peace Violation,160
28,Robbery,1590
28,Sex Offense,182
28,Stalking,51
28,Theft,14165
28,Weapons Violation,520
29,Arson,96
29,Assault,3265
29,Battery,8476
29,Burglary,900
29,Concealed Carry License Violation,43
29,Crim Sexual Assault,65
29,Criminal Damage,4016
29,Criminal Sexual Assault,156
29,Criminal Trespass,701
29,Deceptive Practice,1312
29,Gambling,68
29,Homicide,169
29,Human Trafficking,3
29,Interference With Public Officer,209
29,Intimidation,8
29,Kidnapping,21
29,Liquor Law Violation,21
29,Motor Vehicle Theft,1741
29,Narcotics,5625
29,Non-Criminal,2
29,Obscenity,4
29,Offense Involving Children,311
29,Other Offense,2240
29,Prostitution,52
29,Public Peace Violation,208
29,Robbery,1680
29,Sex Offense,136
29,Stalking,39
29,Theft,4371
29,Weapons Violation,2033
30,Arson,54
30,Assault,1784
30,Battery,4418
30,Burglary,579
30,Concealed Carry License Violation,19
30,Crim Sexual Assault,45
30,Criminal Damage,2404
30,Criminal Sexual Assault,101
30,Criminal Trespass,299
30,Deceptive Practice,886
30,Homicide,87
30,Interference With Public Officer,69
30,Intimidation,27
30,Kidnapping,11
30,Liquor Law Violation,30
30,Motor Vehicle Theft,1001
30,Narcotics,819
30,Obscenity,2
30,Offense Involving Children,268
30,Other Offense,1315
30,Prostitution,6
30,Public Indecency,3
30,Public Peace Violation,208
30,Robbery,800
30,Sex Offense,142
30,Stalking,18
30,Theft,2974
30,Weapons Violation,1114
31,Arson,24
31,Assault,1097
31,Battery,2156
31,Burglary,424
31,Concealed Carry License Violation,7
31,Crim Sexual Assault,22
31,Criminal Damage,1508
31,Criminal Sexual Assault,60
31,Criminal Trespass,259
31,Deceptive Practice,707
31,Homicide,37
31,Interference With Public Officer,20
31,Intimidation,14
31,Kidnapping,2
31,Liquor Law Violation,19
31,Motor Vehicle Theft,659
31,Narcotics,241
31,Obscenity,1
31,Offense Involving Children,75
31,Other Narcotic Violation,1
31,Other Offense,647
31,Public Indecency,2
31,Public Peace Violation,74
31,Robbery,445
31,Sex Offense,79
31,Stalking,22
31,Theft,2680
31,Weapons Violation,354
32,Arson,31
32,Assault,2055
32,Battery,4643
32,Burglary,559
32,Concealed Carry License Violation,12
32,Crim Sexual Assault,53
32,Criminal Damage,2180
32,Criminal Sexual Assault,132
32,Criminal Trespass,1262
32,Deceptive Practice,4889
32,Homicide,23
32,Human Trafficking,1
32,Interference With Public Officer,86
32,Intimidation,20
32,Kidnapping,4
32,Liquor Law Violation,24
32,Motor Vehicle Theft,1142
32,Narcotics,415
32,Non-Criminal,1
32,Obscenity,6
32,Offense Involving Children,40
32,Other Narcotic Violation,4
32,Other Offense,1148
32,Prostitution,1
32,Public Indecency,5
32,Public Peace Violation,305
32,Robbery,1281
32,Sex Offense,164
32,Stalking,29
32,Theft,18365
32,Weapons Violation,343
33,Arson,4
33,Assault,784
33,Battery,1547
33,Burglary,199
33,Concealed Carry License Violation,3
33,Crim Sexual Assault,18
33,Criminal Damage,848
33,Criminal Sexual Assault,43
33,Criminal Trespass,274
33,Deceptive Practice,1117
33,Gambling,1
33,Homicide,15
33,Interference With Public Officer,17
33,Intimidation,4
33,Kidnapping,7
33,Liquor Law Violation,18
33,Motor Vehicle Theft,781
33,Narcotics,101
33,Obscenity,3
33,Offense Involving Children,49
33,Other Narcotic Violation,1
33,Other Offense,546
33,Prostitution,1
33,Public Indecency,1
33,Public Peace Violation,45
33,Robbery,274
33,Sex Offense,47
33,Stalking,9
33,Theft,2459
33,Weapons Violation,165
34,Arson,8
34,Assault,393
34,Battery,858
34,Burglary,187
34,Concealed Carry License Violation,2
34,Crim Sexual Assault,4
34,Criminal Damage,513
34,Criminal Sexual Assault,13
34,Criminal Trespass,102
34,Deceptive Practice,365
34,Gambling,1
34,Homicide,14
34,Interference With Public Officer,10
34,Intimidation,5
34,Kidnapping,1
34,Liquor Law Violation,18
34,Motor Vehicle Theft,305
34,Narcotics,61
34,Obscenity,1
34,Offense Involving Children,19
34,Other Offense,171
34,Public Peace Violation,22
34,Robbery,424
34,Sex Offense,16
34,Stalking,2
34,Theft,1240
34,Weapons Violation,133
35,Arson,9
35,Assault,1219
35,Battery,2531
35,Burglary,219
35,Concealed Carry License Violation,9
35,Crim Sexual Assault,24
35,Criminal Damage,1178
35,Criminal Sexual Assault,45
35,Criminal Trespass,292
35,Deceptive Practice,853
35,Gambling,3
35,Homicide,28
35,Interference With Public Officer,44
35,Intimidation,13
35,Kidnapping,8
35,Liquor Law Violation,6
35,Motor Vehicle Theft,866
35,Narcotics,235
35,Obscenity,4
35,Offense Involving Children,83
35,Other Offense,964
35,Public Peace Violation,81
35,Robbery,433
35,Sex Offense,51
35,Stalking,27
35,Theft,2999
35,Weapons Violation,300
36,Arson,2
36,Assault,350
36,Battery,624
36,Burglary,74
36,Concealed Carry License Violation,2
36,Crim Sexual Assault,5
36,Criminal Damage,419
36,Criminal Sexual Assault,15
36,Criminal Trespass,59
36,Deceptive Practice,226
36,Homicide,6
36,Interference With Public Officer,6
36,Kidnapping,1
36,Liquor Law Violation,2
36,Motor Vehicle Theft,229
36,Narcotics,23
36,Offense Involving Children,50
36,Other Offense,298
36,Public Peace Violation,7
36,Robbery,114
36,Sex Offense,7
36,Stalking,8
36,Theft,568
36,Weapons Violation,108
37,Arson,13
37,Assault,360
37,Battery,694
37,Burglary,78
37,Concealed Carry License Violation,2
37,Crim Sexual Assault,8
37,Criminal Damage,391
37,Criminal Sexual Assault,13
37,Criminal Trespass,122
37,Deceptive Practice,208
37,Homicide,18
37,Human Trafficking,1
37,Interference With Public Officer,35
37,Intimidation,2
37,Kidnapping,5
37,Liquor Law Violation,1
37,Motor Vehicle Theft,227
37,Narcotics,160
37,Obscenity,2
37,Offense Involving Children,22
37,Other Narcotic Violation,1
37,Other Offense,205
37,Public Peace Violation,30
37,Robbery,191
37,Sex Offense,13
37,Stalking,4
